Airline,Departure Time,Arrival Time,Start Destination,End Destination,Duration,Stops,Price,flight_link,Economy Class
IndiGo,08:35,12:25,JAISanganeer,BOMChhatrapati Shivaji Intl,3h 50m,1 stop,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,15:50,17:35,BOMChhatrapati Shivaji Intl,JAISanganeer,1h 45m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,08:35,12:25,JAISanganeer,BOMChhatrapati Shivaji Intl,3h 50m,1 stop,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India Express,15:50,17:20,BOMChhatrapati Shivaji Intl,JAISanganeer,1h 30m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,17:30,21:15,JAISanganeer,BOMChhatrapati Shivaji Intl,3h 45m,1 stop,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India Express,06:55,09:00,BOMChhatrapati Shivaji Intl,JAISanganeer,2h 05m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,17:30,21:15,JAISanganeer,BOMChhatrapati Shivaji Intl,3h 45m,1 stop,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India,21:10,23:15,BOMChhatrapati Shivaji Intl,JAISanganeer,2h 05m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India Express,17:55,19:55,JAISanganeer,BOMChhatrapati Shivaji Intl,2h 00m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India,06:55,09:00,BOMChhatrapati Shivaji Intl,JAISanganeer,2h 05m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India,19:55,22:05,JAISanganeer,BOMChhatrapati Shivaji Intl,2h 10m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,15:50,17:35,BOMChhatrapati Shivaji Intl,JAISanganeer,1h 45m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,17:30,21:15,JAISanganeer,BOMChhatrapati Shivaji Intl,3h 45m,1 stop,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India,21:10,23:15,BOMChhatrapati Shivaji Intl,JAISanganeer,2h 05m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,18:10,20:00,JAISanganeer,BOMChhatrapati Shivaji Intl,1h 50m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Vistara,11:15,13:15,BOMChhatrapati Shivaji Intl,JAISanganeer,2h 00m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
IndiGo,23:15,"01:05
+1",JAISanganeer,BOMChhatrapati Shivaji Intl,1h 50m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
Air India,06:55,09:00,BOMChhatrapati Shivaji Intl,JAISanganeer,2h 05m,direct,"₹ 21,372",https://www.kayak.co.in/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5285269&pid=BDCFlight-IN_FSR_en_IN&prv=BDCFlight-IN_FSR_en_IN&srch=cDFCHYp_E0&ploc=en_IN&atype=SponsoredResult&prc=21372.00&cpnid=7091405&xpExt=&aidExt=&lid=BDCFlight-IN_FSR_en_IN-cDFCHYp_E0&qorig=Airport:BOM&octid=&qdest=Airport:JAI&qstart=1730001600000&qend=1730606400000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=8030&qdac=JAI&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=SVLeJ9y5GOLk%24rBhWLGeog%3D%3D&ah=dZbzOP6bl00jB00epnjGZXTX8wk5dUES7OwFu0$FovQ&resid=bd0c6e5d8b0b15e5da80cf504e562afc&bookid=F985353598970285677E00e86d2dcaf&seekProv=BOOKINGFLIGHTS&trueProv=BOOKINGFLIGHTS&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-5kzyAVxboEFZaJzLTrx2z-THjWG6BXfluDdEH_IA6ftfrd370zrNHipTE5ZJ0Kj&btype=DgqbZHoRrmSpOXmNAG7plg%3D%3D&bkey=tEd1LeB84CM%3D&abv=tfwruOHIwWk%3D&payment=0.00:INR:BT:BankTransfer:true&pageOrigin=F..RP.FE.M0,Economy
